Time [s]                 AoA                      AoS                      CA                       CM                       CW                       CZ                       CX                       F_x                      F_y                      F_z                      
0.000000                 0.094502                 0.000000                 0.450238                 0.000002                 0.037557                 -0.451773                0.005096                 1651.843909              0.000000                 -146443.731524           
0.010000                 0.094502                 0.000000                 0.469065                 -0.026989                0.037434                 -0.470504                0.006995                 2267.459724              0.000000                 -152515.563472           
0.020000                 0.094480                 0.000000                 0.445077                 0.007086                 0.037572                 -0.446636                0.004583                 1485.879452              0.000000                 -144791.796167           
0.030000                 0.094446                 0.000000                 0.445046                 0.007019                 0.037557                 -0.446604                0.004581                 1484.948867              -0.055223                -144781.265447           
0.040000                 0.094423                 -0.000000                0.445023                 0.006990                 0.037547                 -0.446581                0.004578                 1484.206679              -0.321882                -144773.410869           
0.050000                 0.094410                 -0.000000                0.445054                 0.006937                 0.037541                 -0.446611                0.004581                 1485.051091              -0.763150                -144782.530494           
0.060000                 0.094407                 -0.000000                0.445135                 0.006860                 0.037540                 -0.446692                0.004588                 1487.456195              -1.346066                -144808.360638           
0.070000                 0.094415                 -0.000000                0.445267                 0.006761                 0.037544                 -0.446823                0.004601                 1491.385745              -2.041006                -144850.508838           
0.080000                 0.094432                 -0.000000                0.445448                 0.006640                 0.037552                 -0.447004                0.004617                 1496.800100              -2.821341                -144908.535158           
0.090000                 0.094460                 -0.000000                0.445676                 0.006499                 0.037565                 -0.447232                0.004638                 1503.656634              -3.663142                -144981.957707           
0.100000                 0.094496                 -0.000000                0.445949                 0.006338                 0.037582                 -0.447506                0.004664                 1511.909878              -4.544922                -145070.255090           
0.110000                 0.094543                 -0.000000                0.466224                 -0.022453                0.037478                 -0.467680                0.006702                 2172.482229              -12.412110               -151609.613866           
0.120000                 0.094574                 -0.000000                0.463355                 -0.018356                0.037510                 -0.464827                0.006414                 2079.434113              -12.008570               -150697.366899           
0.130000                 0.094576                 -0.000000                0.460799                 -0.014822                0.037525                 -0.462283                0.006158                 1996.689319              -11.862667               -149885.252749           
0.140000                 0.094553                 -0.000000                0.458446                 -0.011672                0.037527                 -0.459941                0.005923                 1920.690532              -11.861571               -149137.433289           
0.150000                 0.094512                 -0.000000                0.456286                 -0.008868                0.037519                 -0.457790                0.005708                 1851.085343              -11.938574               -148450.458081           
0.160000                 0.094456                 -0.000001                0.454309                 -0.006378                0.037503                 -0.455821                0.005512                 1787.567429              -12.045022               -147821.495405           
0.170000                 0.094388                 -0.000001                0.438272                 0.016234                 0.037562                 -0.439862                0.003912                 1268.723402              -4.774464                -142654.226838           
0.180000                 0.094331                 -0.000001                0.438671                 0.015504                 0.037534                 -0.440256                0.003952                 1281.647168              -6.031289                -142779.413456           
0.190000                 0.094296                 -0.000001                0.439116                 0.014816                 0.037517                 -0.440698                0.003996                 1295.830815              -7.145829                -142919.822230           
0.200000                 0.094285                 -0.000001                0.439637                 0.014126                 0.037510                 -0.441216                0.004046                 1312.182270              -8.132544                -143084.639001           
0.210000                 0.094294                 -0.000001                0.440229                 0.013433                 0.037513                 -0.441805                0.004103                 1330.602986              -8.994185                -143272.642376           
0.220000                 0.094324                 -0.000001                0.440887                 0.012738                 0.037525                 -0.442462                0.004166                 1350.987664              -9.733692                -143482.511794           
